distancia_m,profundidad_mm,tipo_defecto,largo,ancho,latitud,longitud
8255.569,0.762,Pitting,18,15,3.792345882,-71.51813503
8255.725,0.889,Pitting,21,16,3.792346877,-71.51813612
8255.852,0.762,Pitting,21,25,3.792347687,-71.51813701
8255.994,0.9525,Pitting,22,19,3.792348593,-71.518138
8256.257,0.889,Pitting,23,17,3.792350271,-71.51813984
8256.264,0.762,General,30,78,3.792350315,-71.51813989
8257.196,0.889,Pitting,20,22,3.79235626,-71.51814641
8257.429,0.8255,Pitting,23,26,3.792357747,-71.51814804
8257.461,0.889,Pitting,18,15,3.792357951,-71.51814826
8257.89,0.762,Pitting,23,22,3.792360687,-71.51815126
8258.251,0.762,Axial Grooving,44,22,3.79236299,-71.51815379
8258.279,0.6985,Pitting,19,15,3.792363169,-71.51815398
8258.331,0.889,Pitting,20,15,3.7923635,-71.51815435
8258.382,0.889,Pitting,41,28,3.792363826,-71.5181547
8258.397,1.778,Pitting,18,29,3.792363921,-71.51815481
8258.507,0.762,Pitting,20,22,3.792364623,-71.51815558
8300.003,0.762,Pitting,14,16,3.792631963,-71.51844331
8300.887,0.889,Pitting,16,19,3.792637739,-71.51844936
8318.571,0.635,Pitting,14,25,3.792745035,-71.51857746
8319.093,0.635,Pitting,19,25,3.792747782,-71.51858157
8329.604,0.762,Pitting,23,27,3.792801848,-71.51866503
8329.617,0.635,Pitting,20,16,3.792801908,-71.51866513
8329.936,0.889,General,36,39,3.79280338,-71.51866777
8330.016,0.762,Pitting,16,15,3.792803749,-71.51866843
8330.096,0.635,General,43,35,3.792804118,-71.51866909
8330.567,0.9525,Pitting,27,34,3.79280629,-71.51867299
8330.677,0.635,General,45,42,3.792806797,-71.5186739
8330.848,0.762,Pitting,20,15,3.792807586,-71.51867531
8330.858,0.8255,General,36,63,3.792807632,-71.51867539
8330.859,0.635,General,33,50,3.792807636,-71.5186754
8331.032,1.016,Pitting,33,25,3.792808434,-71.51867683
8331.107,0.8255,General,45,56,3.79280878,-71.51867745
8331.33,0.8255,Pitting,15,16,3.792809809,-71.51867929
8331.753,0.6985,Pitting,29,26,3.79281176,-71.51868279
8332.177,0.6985,Pitting,17,19,3.792813715,-71.51868629
8890.751,0.6985,Pitting,13,15,3.797271238,-71.51930675
9226.515,0.9525,Pitting,12,15,3.799411277,-71.52155799
9228.714,0.889,Pitting,22,24,3.799423375,-71.52157492
9229.176,1.9685,Pitting,26,29,3.799425916,-71.52157848
9229.67,1.3335,General,42,41,3.799428634,-71.52158229
9229.673,1.143,Axial Grooving,53,15,3.79942865,-71.52158231
9229.783,1.016,Pitting,40,22,3.799429255,-71.52158316
9956.142,0.6985,Pitting,12,15,3.801776709,-71.52781555
10004.478,1.397,Pitting,15,18,3.802041142,-71.52818884
10004.656,1.3335,Pitting,18,19,3.802042137,-71.5281902
10004.73,0.9525,Pitting,29,31,3.802042551,-71.52819077
10004.917,0.635,Pitting,19,25,3.802043597,-71.5281922
10005.158,0.635,Pitting,12,15,3.802044945,-71.52819404
10005.325,0.635,Pitting,25,40,3.802045879,-71.52819531
10005.821,0.635,Pitting,25,29,3.802048654,-71.5281991
10005.862,0.762,Pitting,20,36,3.802048883,-71.52819941
10005.879,0.762,Pitting,45,24,3.802048978,-71.52819954
10005.952,0.635,Pitting,13,17,3.802049386,-71.5282001
10011.975,0.6985,Pitting,11,15,3.80208275,-71.52824632
10018.116,1.2065,Pitting,10,15,3.802115298,-71.52829448
10018.186,0.635,Pitting,11,20,3.802115669,-71.52829503
10029.259,0.8255,Pitting,12,19,3.802173085,-71.52838271
10029.32,1.524,Axial Grooving,38,19,3.802173399,-71.52838319
10029.352,1.143,General,40,32,3.802173564,-71.52838345
10029.366,0.9525,Pitting,14,15,3.802173637,-71.52838356
10030.882,0.635,Pitting,20,22,3.802181456,-71.52839559
10031.324,0.8255,Pitting,13,15,3.802183735,-71.5283991
10031.542,0.6985,General,35,47,3.80218486,-71.52840083
10031.796,1.0795,Pitting,25,33,3.80218617,-71.52840285
10031.796,0.635,General,54,66,3.80218617,-71.52840285
10032.155,0.889,Pitting,25,28,3.802188021,-71.5284057
10033.31,0.762,Pitting,27,23,3.802193979,-71.52841486
10033.551,0.635,Pitting,14,16,3.802195222,-71.52841678
10269.658,0.6985,Pitting,17,15,3.801655465,-71.5292559
10269.953,0.9525,Pitting,24,15,3.801652817,-71.52925679
10269.968,0.635,General,31,57,3.801652683,-71.52925683
10270.052,0.6985,Pitting,21,16,3.801651929,-71.52925708
10270.072,0.9525,Pitting,12,16,3.80165175,-71.52925714
10270.102,0.6985,Pitting,17,15,3.80165148,-71.52925723
10270.156,0.762,Pitting,14,16,3.801650996,-71.5292574
10270.448,1.0795,Pitting,15,28,3.801648376,-71.52925828
10270.455,0.635,General,46,43,3.801648313,-71.5292583
10270.544,0.889,Pitting,24,24,3.801647514,-71.52925857
10270.621,0.762,Circumferential Slotting,9,15,3.801646823,-71.5292588
10270.622,0.8255,Pitting,13,15,3.801646814,-71.5292588
10270.656,0.9525,Circumferential Grooving,24,69,3.801646509,-71.5292589
10270.688,1.2065,Circumferential Grooving,14,30,3.801646222,-71.529259
10278.32,0.6985,Pitting,10,15,3.801582053,-71.52929
10278.339,0.762,Circumferential Grooving,14,29,3.801581911,-71.52929011
10282.565,0.889,Pitting,11,16,3.80155041,-71.52931477
10283.607,0.9525,Pitting,10,16,3.801542643,-71.52932084
10293.667,0.635,Circumferential Grooving,13,27,3.801476304,-71.52938896
10293.959,0.635,Circumferential Grooving,11,24,3.80147442,-71.52939098
10297.315,0.6985,Pitting,14,16,3.801455664,-71.52941658
10297.712,0.8255,Pitting,13,15,3.801453501,-71.52941965
10304.343,0.6985,Pitting,13,17,3.80141737,-71.52947097
