distancia_inicio_m,distancia_fin_m,lat,lon,diametro,espesor,SMYS,tasa_corrosion_mm_ano
1576.042,1587.998,3.779471145,-71.46091241,460,6.35,42000,0.1
1587.998,1589.529,3.779493162,-71.46102342,460,6.35,42000,0.1
1589.529,1601.582,3.779495982,-71.46103763,460,6.35,42000,0.1
1601.582,1613.602,3.779518177,-71.46114954,460,6.35,42000,0.1
1613.602,1625.537,3.779540311,-71.46126114,460,6.35,42000,0.1
1625.537,1636.17,3.779562289,-71.46137195,460,6.35,42000,0.1
1636.17,1648.194,3.779581869,-71.46147067,460,6.35,42000,0.1
1648.194,1650.933,3.779603995,-71.46158231,460,6.35,42000,0.1
1650.933,1660.874,3.779609031,-71.46160774,460,6.35,42000,0.1
1660.874,1672.871,3.779627294,-71.46170005,460,6.35,42000,0.1
1672.871,1684.92,3.779649338,-71.46181145,460,6.35,42000,0.1
1684.92,1696.963,3.779671476,-71.46192333,460,6.35,42000,0.1
1696.963,1709.007,3.779693453,-71.46203518,460,6.35,42000,0.1
1709.007,1721.055,3.779714616,-71.4621472,460,6.35,42000,0.1
1721.055,1733.033,3.779735512,-71.46225931,460,6.35,42000,0.1
1733.033,1745.013,3.779756242,-71.46237077,460,6.35,42000,0.1
1745.013,1757.049,3.779777053,-71.46248224,460,6.35,42000,0.1
1757.049,1769.09,3.779797981,-71.46259423,460,6.35,42000,0.1
1769.09,1781.096,3.779818918,-71.46270626,460,6.35,42000,0.1
1781.096,1793.07,3.779839794,-71.46281797,460,6.35,42000,0.1
1793.07,1805.043,3.779860621,-71.46292938,460,6.35,42000,0.1
1805.043,1807.073,3.779881688,-71.46304074,460,6.35,42000,0.1
1807.073,1819.087,3.779885339,-71.4630596,460,6.35,42000,0.1
1819.087,1831.116,3.779906942,-71.46317125,460,6.35,42000,0.1
1831.116,1843.174,3.779928573,-71.46328303,460,6.35,42000,0.1
1843.174,1846.343,3.779950255,-71.46339509,460,6.35,42000,0.1
1846.343,1858.355,3.779955954,-71.46342454,460,6.35,42000,0.1
1858.355,1865.996,3.779977552,-71.46353617,460,6.35,42000,0.1
1865.996,1876.731,3.779991254,-71.46360718,460,6.35,42000,0.1
1876.731,1888.803,3.780010277,-71.463707,460,6.35,42000,0.1
1888.803,1900.844,3.780031593,-71.46381926,460,6.35,42000,0.1
1900.844,1912.812,3.780052853,-71.46393123,460,6.35,42000,0.1
1912.812,1924.804,3.780073985,-71.46404252,460,6.35,42000,0.1
1924.804,1936.799,3.78009516,-71.46415404,460,6.35,42000,0.1
1936.799,1945.963,3.780116094,-71.46426563,460,6.35,42000,0.1
1945.963,1957.942,3.780131092,-71.46435106,460,6.35,42000,0.1
1957.942,1969.964,3.780150694,-71.46446274,460,6.35,42000,0.1
1969.964,1981.961,3.780170368,-71.46457482,460,6.35,42000,0.1
1981.961,1993.971,3.780190001,-71.46468667,460,6.35,42000,0.1
1993.971,2005.987,3.780209655,-71.46479864,460,6.35,42000,0.1
2005.987,2018.017,3.780229318,-71.46491066,460,6.35,42000,0.1
2018.017,2030.03,3.780249005,-71.46502282,460,6.35,42000,0.1
2030.03,2042.053,3.780268664,-71.46513481,460,6.35,42000,0.1
2042.053,2054.047,3.780288888,-71.4652468,460,6.35,42000,0.1
2054.047,2065.043,3.780309555,-71.46535843,460,6.35,42000,0.1
2065.043,2066.053,3.780328503,-71.46546078,460,6.35,42000,0.1
2066.053,2077.677,3.780330243,-71.46547018,460,6.35,42000,0.1
2077.677,2089.315,3.780350273,-71.46557836,460,6.35,42000,0.1
2089.315,2100.92,3.780370328,-71.46568668,460,6.35,42000,0.1
2100.92,2107.021,3.780390326,-71.46579469,460,6.35,42000,0.1
2107.021,2113.131,3.780400839,-71.46585148,460,6.35,42000,0.1
2113.131,2124.621,3.780411366,-71.46590834,460,6.35,42000,0.1
2124.621,2130.734,3.780431165,-71.46601528,460,6.35,42000,0.1
2130.734,2136.315,3.780442063,-71.46607211,460,6.35,42000,0.1
2136.315,2137.289,3.780452147,-71.46612397,460,6.35,42000,0.1
2137.289,2142.14,3.780453949,-71.46613301,460,6.35,42000,0.1
2142.14,2154.179,3.780462923,-71.46617804,460,6.35,42000,0.1
2154.179,2166.193,3.780485181,-71.4662898,460,6.35,42000,0.1
2166.193,2178.218,3.780507145,-71.46640137,460,6.35,42000,0.1
2178.218,2190.214,3.78052894,-71.46651309,460,6.35,42000,0.1
2190.214,2202.182,3.780550681,-71.46662454,460,6.35,42000,0.1
2202.182,2214.122,3.780572374,-71.46673572,460,6.35,42000,0.1
2214.122,2226.08,3.780594015,-71.46684665,460,6.35,42000,0.1
2226.08,2238.088,3.780615689,-71.46695774,460,6.35,42000,0.1
2238.088,2250.112,3.780637455,-71.4670693,460,6.35,42000,0.1
2250.112,2251.511,3.780659246,-71.467181,460,6.35,42000,0.1
2251.511,2263.512,3.780661782,-71.467194,460,6.35,42000,0.1
2263.512,2275.508,3.780683192,-71.46730556,460,6.35,42000,0.1
2275.508,2287.517,3.78070406,-71.46741717,460,6.35,42000,0.1
2287.517,2299.483,3.780724888,-71.46752892,460,6.35,42000,0.1
2299.483,2311.505,3.780745642,-71.46764026,460,6.35,42000,0.1
2311.505,2323.507,3.780766494,-71.46775213,460,6.35,42000,0.1
2323.507,2331.813,3.78078731,-71.46786381,460,6.35,42000,0.1
2331.813,2343.829,3.780801717,-71.4679411,460,6.35,42000,0.1
2343.829,2355.832,3.78082247,-71.46805293,460,6.35,42000,0.1
2355.832,2367.843,3.780840113,-71.46816514,460,6.35,42000,0.1
2367.843,2379.84,3.780851031,-71.46827826,460,6.35,42000,0.1
2379.84,2391.803,3.78085965,-71.46839149,460,6.35,42000,0.1
2391.803,2403.769,3.780870807,-71.46850414,460,6.35,42000,0.1
2403.769,2415.767,3.780894006,-71.46861493,460,6.35,42000,0.1
2415.767,2417.315,3.780924713,-71.46872426,460,6.35,42000,0.1
2417.315,2429.295,3.780928832,-71.46873832,460,6.35,42000,0.1
2429.295,2441.282,3.780960672,-71.46884716,460,6.35,42000,0.1
2441.282,2447.846,3.780989752,-71.4689568,460,6.35,42000,0.1
2447.846,2459.862,3.781003184,-71.46901746,460,6.35,42000,0.1
2459.862,2469.497,3.781024506,-71.46912918,460,6.35,42000,0.1
2469.497,2471.909,3.781042528,-71.46921858,460,6.35,42000,0.1
2471.909,2476.879,3.781047103,-71.46924095,460,6.35,42000,0.1
2476.879,2488.858,3.78105651,-71.46928704,460,6.35,42000,0.1
2488.858,2500.85,3.781078749,-71.46939822,460,6.35,42000,0.1
2500.85,2506.2,3.781100901,-71.46950955,460,6.35,42000,0.1
2506.2,2518.223,3.781110783,-71.46955922,460,6.35,42000,0.1
2518.223,2530.263,3.781132851,-71.46967086,460,6.35,42000,0.1
2530.263,2535.379,3.781154124,-71.46978282,460,6.35,42000,0.1
2535.379,2547.403,3.781162949,-71.46983043,460,6.35,42000,0.1
2547.403,2554.269,3.781182838,-71.46994249,460,6.35,42000,0.1
2554.269,2566.314,3.781188012,-71.47000678,460,6.35,42000,0.1
2566.314,2578.331,3.781164044,-71.47011721,460,6.35,42000,0.1
2578.331,2590.33,3.781123015,-71.4702233,460,6.35,42000,0.1
2590.33,2597.24,3.781082687,-71.47032946,460,6.35,42000,0.1
2597.24,2609.265,3.781062941,-71.47039181,460,6.35,42000,0.1
2609.265,2621.492,3.781040784,-71.47050328,460,6.35,42000,0.1
2621.492,2633.694,3.781035675,-71.47061884,460,6.35,42000,0.1
2633.694,2645.873,3.781040144,-71.4707342,460,6.35,42000,0.1
2645.873,2658.082,3.78104804,-71.47084921,460,6.35,42000,0.1
2658.082,2664.207,3.78105629,-71.47096448,460,6.35,42000,0.1
2664.207,2676.228,3.781060435,-71.47102231,460,6.35,42000,0.1
2676.228,2688.242,3.781068424,-71.47113581,460,6.35,42000,0.1
2688.242,2700.265,3.781076224,-71.47124926,460,6.35,42000,0.1
2700.265,2711.338,3.78108403,-71.4713628,460,6.35,42000,0.1
2711.338,2723.353,3.78109175,-71.47146732,460,6.35,42000,0.1
2723.353,2735.347,3.781100479,-71.47158071,460,6.35,42000,0.1
2735.347,2747.325,3.781109213,-71.4716939,460,6.35,42000,0.1
2747.325,2759.313,3.781117933,-71.47180695,460,6.35,42000,0.1
2759.313,2771.299,3.781126662,-71.47192008,460,6.35,42000,0.1
2771.299,2783.285,3.781135367,-71.4720332,460,6.35,42000,0.1
2783.285,2787.378,3.781143785,-71.47214634,460,6.35,42000,0.1
2787.378,2799.401,3.781146573,-71.47218498,460,6.35,42000,0.1
2799.401,2811.405,3.781154762,-71.47229849,460,6.35,42000,0.1
2811.405,2823.411,3.781162937,-71.47241182,460,6.35,42000,0.1
2823.411,2830.339,3.781171308,-71.47252515,460,6.35,42000,0.1
2830.339,2842.37,3.78117627,-71.47259054,460,6.35,42000,0.1
2842.37,2854.408,3.781181525,-71.47270424,460,6.35,42000,0.1
